entrées;horodatage;id_erp;Nom;geo_point_2d
2;2015-02-15T16:00:00+01:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
4;2015-02-18T16:00:00+01:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
10;2015-02-24T16:00:00+01:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
5;2015-02-25T17:00:00+01:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
14;2015-02-26T15:00:00+01:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
3;2015-02-27T16:00:00+01:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
1;2015-03-19T16:00:00+01:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
5;2015-03-22T17:00:00+01:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
25;2015-03-31T12:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
1;2015-04-03T18:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
22;2015-04-10T11:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
1;2015-04-11T17:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
2;2015-04-14T16:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
2;2015-05-02T16:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
5;2015-05-07T15:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
2;2015-05-10T16:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
2;2015-05-22T16:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
1;2015-05-22T18:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
1;2015-05-23T17:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
2;2015-05-26T18:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
3;2015-05-30T18:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
1;2015-06-02T17:00:00+02:00;E-234-01684;MUSEE HISTORIQUE ET ARCHEOLOGIQUE DE L'ORLEANAIS - HOTEL CABU;47.90107660579681, 1.9053313098052078
